Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-01-22 00:00:00-05:00,0.04006265139901229,0.04471266535601611,0.03553168208391878,0.03755908086895943,2714688000,0.0,0.0
1999-01-25 00:00:00-05:00,0.04053972906942624,0.04197007917821153,0.03755907001233553,0.04149390757083893,510480000,0.0,0.0
1999-01-26 00:00:00-05:00,0.04197009785675096,0.04280523212233522,0.037678127976945995,0.038274262100458145,343200000,0.0,0.0
1999-01-27 00:00:00-05:00,0.03839328013764074,0.03934745848682357,0.036246841084886024,0.038155194371938705,244368000,0.0,0.0
1999-01-28 00:00:00-05:00,0.03815520259585616,0.03839328841287487,0.037797157932599815,0.03803524374961853,227520000,0.0,0.0
1999-01-29 00:00:00-05:00,0.0380352460467659,0.03815520490024848,0.036246851086616516,0.036246851086616516,244032000,0.0,0.0
1999-02-01 00:00:00-05:00,0.036246848249937846,0.03720102337642312,0.036246848249937846,0.03696293756365776,154704000,0.0,0.0
1999-02-02 00:00:00-05:00,0.03624684320009822,0.03720101819364969,0.03302809525369505,0.03410131484270096,264096000,0.0,0.0
1999-02-03 00:00:00-05:00,0.03362424228248661,0.03529359291494394,0.033385238765603786,0.03481650352478027,75120000,0.0,0.0
1999-02-04 00:00:00-05:00,0.035293584252145904,0.037678112974080503,0.03481649497908364,0.03672393783926964,181920000,0.0,0.0
1999-02-05 00:00:00-05:00,0.03732005274614637,0.03815518633081917,0.036366792241048385,0.03779714182019234,136848000,0.0,0.0
1999-02-08 00:00:00-05:00,0.0380352495767149,0.03815520844133053,0.03648585453629494,0.03648585453629494,154080000,0.0,0.0
1999-02-09 00:00:00-05:00,0.03720102648411327,0.03743911572808171,0.03457749751900055,0.035054586827754974,86976000,0.0,0.0
1999-02-10 00:00:00-05:00,0.03505458862090974,0.036008763875913785,0.03410132418676982,0.034697458148002625,148224000,0.0,0.0
1999-02-11 00:00:00-05:00,0.03481649347333839,0.0391084614585261,0.03481649347333839,0.03767811134457588,132240000,0.0,0.0
1999-02-12 00:00:00-05:00,0.038155210035137554,0.040062649873344174,0.038155210035137554,0.03982456400990486,109728000,0.0,0.0
1999-02-16 00:00:00-05:00,0.0405397328831775,0.042209086596026284,0.03600876104021938,0.040062643587589264,211008000,0.0,0.0
1999-02-17 00:00:00-05:00,0.03910845887829357,0.03958554809924606,0.0372010196377601,0.03791619464755058,67728000,0.0,0.0
1999-02-18 00:00:00-05:00,0.03910846850937369,0.039585557847817,0.03743911805788751,0.03851233795285225,70704000,0.0,0.0
1999-02-19 00:00:00-05:00,0.038155210035137554,0.04053973924378684,0.03767812066469489,0.03982456400990486,75360000,0.0,0.0
1999-02-22 00:00:00-05:00,0.0405397328831775,0.04101682217876573,0.037916200579152244,0.040062643587589264,205248000,0.0,0.0
1999-02-23 00:00:00-05:00,0.041016827995019135,0.042805223168850416,0.03863229882236789,0.041970089077949524,138096000,0.0,0.0
1999-02-24 00:00:00-05:00,0.04817040530517415,0.05007875894242145,0.04423556765236879,0.04530878737568855,612768000,0.0,0.0
1999-02-25 00:00:00-05:00,0.047217139781822764,0.04864749329890705,0.043162343392344815,0.04387843608856201,149136000,0.0,0.0
1999-02-26 00:00:00-05:00,0.0443555314931403,0.045785881797389856,0.04149391324118207,0.041851043701171875,172608000,0.0,0.0
1999-03-01 00:00:00-05:00,0.04292425939550996,0.04387843793506567,0.04006264142021323,0.0420900397002697,92160000,0.0,0.0
1999-03-02 00:00:00-05:00,0.041970080409776594,0.04220908386380992,0.041016819523725274,0.04173199459910393,55248000,0.0,0.0
1999-03-03 00:00:00-05:00,0.04197008329755262,0.04197008329755262,0.03863229350167343,0.03887037932872772,61392000,0.0,0.0
1999-03-04 00:00:00-05:00,0.04077781715660249,0.04101682061700633,0.03767811331843361,0.03803524374961853,57360000,0.0,0.0
1999-03-05 00:00:00-05:00,0.03839330483702213,0.040300745119304884,0.03839330483702213,0.04018170386552811,78768000,0.0,0.0
1999-03-08 00:00:00-05:00,0.03910846013776095,0.04197007791235631,0.03839328510493863,0.04077781364321709,75888000,0.0,0.0
1999-03-09 00:00:00-05:00,0.04065877530224977,0.04268617358230624,0.04065877530224977,0.0420900397002697,143184000,0.0,0.0
1999-03-10 00:00:00-05:00,0.04268617651031374,0.04268617651031374,0.04077781930030082,0.041373953223228455,235344000,0.0,0.0
1999-03-11 00:00:00-05:00,0.040658772461177405,0.041373947494185416,0.039585549384355545,0.039585549384355545,54288000,0.0,0.0
1999-03-12 00:00:00-05:00,0.039824557923792525,0.039824557923792525,0.03815520420414103,0.03887037932872772,90768000,0.0,0.0
1999-03-15 00:00:00-05:00,0.03982455892300204,0.04101682337503539,0.039585555446527275,0.040539734065532684,108816000,0.0,0.0
1999-03-16 00:00:00-05:00,0.04077781931495087,0.041254908617625506,0.038870379747686035,0.039228424429893494,79152000,0.0,0.0
1999-03-17 00:00:00-05:00,0.03958554145105759,0.040300716340738126,0.03851232200063195,0.0394665002822876,51360000,0.0,0.0
1999-03-18 00:00:00-05:00,0.03958556123567445,0.04053973999422269,0.03863230012070723,0.03994360938668251,46320000,0.0,0.0
1999-03-19 00:00:00-05:00,0.03982455776150518,0.04125490800484982,0.03982455776150518,0.040062643587589264,105312000,0.0,0.0
1999-03-22 00:00:00-05:00,0.04089686349461759,0.04101682234591162,0.03887037932872772,0.03887037932872772,36672000,0.0,0.0
1999-03-23 00:00:00-05:00,0.03910846949883251,0.03910846949883251,0.03577067933228703,0.03648585453629494,163968000,0.0,0.0
1999-03-24 00:00:00-05:00,0.036246851086616516,0.036485851150141115,0.03481649740003376,0.036246851086616516,60864000,0.0,0.0
1999-03-25 00:00:00-05:00,0.03612780395312915,0.03815520224714277,0.03600875934005093,0.03672393783926964,40320000,0.0,0.0
1999-03-26 00:00:00-05:00,0.037201031982884866,0.04006265061494857,0.037201031982884866,0.03994360938668251,88272000,0.0,0.0
1999-03-29 00:00:00-05:00,0.04113587364554405,0.04209004898425268,0.040420694993498804,0.04113587364554405,65952000,0.0,0.0
1999-03-30 00:00:00-05:00,0.04125490427278848,0.041612948917287805,0.03743911130800633,0.03767811134457588,69504000,0.0,0.0
